time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),uv_index_max (),uv_index_clear_sky_max (),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),precipitation_sum (mm),precipitation_hours (h),precipitation_probability_max (%),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),apparent_temperature_mean (°C),cape_mean (J/kg),cape_max (J/kg),cape_min (J/kg),cloud_cover_mean (%),cloud_cover_max (%),cloud_cover_min (%),dew_point_2m_mean (°C),dew_point_2m_max (°C),dew_point_2m_min (°C),et0_fao_evapotranspiration_sum (mm),growing_degree_days_base_0_limit_50 (undefined),leaf_wetness_probability_mean (undefined),precipitation_probability_mean (%),precipitation_probability_min (%),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),snowfall_water_equivalent_sum (mm),pressure_msl_mean (hPa),pressure_msl_max (hPa),pressure_msl_min (hPa),surface_pressure_mean (hPa),surface_pressure_max (hPa),surface_pressure_min (hPa),updraft_max (m/s),visibility_mean (m),visibility_min (m),visibility_max (m),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),wet_bulb_temperature_2m_mean (°C),wet_bulb_temperature_2m_max (°C),wet_bulb_temperature_2m_min (°C),vapour_pressure_deficit_max (kPa),soil_moisture_0_to_100cm_mean (undefined),soil_moisture_0_to_10cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (undefined),soil_moisture_28_to_100cm_mean (undefined),soil_moisture_7_to_28cm_mean (undefined),soil_temperature_0_to_100cm_mean (undefined),soil_temperature_0_to_7cm_mean (undefined),soil_temperature_28_to_100cm_mean (undefined),soil_temperature_7_to_28cm_mean (undefined)
2021-03-23,3,16.8,5.6,12.9,-1.0,2021-03-22T20:40,2021-03-23T08:58,44347.56,39668.71,4.75,5.40,0.00,0.00,0.00,0.00,0.0,NaN,47.2,67.0,267,14.19,3.66,11.2,5.8,0.0,0.0,0.0,92,100,5,-0.0,3.8,-2.5,3.66,NaN,NaN,NaN,NaN,49,80,28,0.00,1015.8,1025.9,1007.5,941.1,949.7,934.8,NaN,24140.00,24140.00,24140.00,267,37.2,23.4,9.4,9.5,5.8,8.3,2.3,1.38,NaN,0.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-24,3,14.0,6.1,10.5,3.3,2021-03-23T20:38,2021-03-24T08:59,44528.47,41247.50,5.40,5.40,0.00,0.00,0.00,0.00,0.0,NaN,19.1,34.6,28,20.49,3.42,10.0,6.4,0.0,0.0,0.0,44,100,-1,-2.6,-0.7,-4.2,3.42,NaN,NaN,NaN,NaN,42,57,29,0.00,1021.3,1025.5,1019.2,945.9,949.8,943.5,NaN,24140.00,24140.00,24140.00,28,15.8,9.0,4.7,0.5,4.3,6.3,2.2,1.14,NaN,0.127,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-25,3,18.0,11.0,13.1,7.2,2021-03-24T20:36,2021-03-25T09:00,44708.72,38807.08,5.50,5.50,0.00,0.00,0.00,0.00,0.0,NaN,19.5,23.4,87,19.83,4.23,14.4,10.6,0.0,0.0,0.0,64,100,0,-1.9,-0.6,-3.5,4.23,NaN,NaN,NaN,NaN,33,44,23,0.00,1012.6,1019.2,1010.2,939.0,944.2,936.5,NaN,24140.00,24140.00,24140.00,87,13.8,11.3,3.6,2.2,6.9,8.4,5.4,1.58,NaN,0.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-26,51,17.3,12.0,12.4,8.4,2021-03-25T20:34,2021-03-26T09:01,44888.20,26004.35,4.55,5.60,2.10,0.60,0.00,2.70,10.0,NaN,18.8,42.8,242,8.31,2.85,13.9,10.3,4.6,40.0,0.0,100,100,100,3.6,8.5,-4.1,2.85,NaN,NaN,NaN,NaN,53,74,23,0.00,1014.2,1017.3,1009.2,940.3,943.2,936.5,NaN,23675.83,13880.00,24140.00,242,22.7,15.0,7.6,5.7,8.6,10.6,6.7,1.52,NaN,0.134,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-27,3,19.1,10.1,16.3,3.7,2021-03-26T20:32,2021-03-27T09:02,45066.77,41322.39,5.50,5.65,0.00,0.00,0.00,0.00,0.0,NaN,38.9,50.4,27,15.22,3.61,14.5,11.2,5.4,60.0,0.0,87,101,0,4.8,7.7,2.8,3.61,NaN,NaN,NaN,NaN,54,77,34,0.00,1010.6,1016.8,1006.6,937.2,942.9,933.0,NaN,24140.00,24140.00,24140.00,27,22.6,14.5,3.6,3.1,9.2,11.1,7.1,1.46,NaN,0.137,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-28,53,14.6,9.9,10.7,5.0,2021-03-27T20:31,2021-03-28T09:04,45244.33,35265.01,4.10,5.65,0.60,0.10,0.00,0.70,3.0,NaN,32.0,44.3,255,11.91,2.97,12.1,7.9,5.4,60.0,0.0,97,100,23,3.7,6.0,2.3,2.97,NaN,NaN,NaN,NaN,57,67,47,0.00,1010.1,1015.2,1007.3,936.1,940.6,934.0,NaN,24140.00,24140.00,24140.00,255,33.7,18.3,17.3,8.4,7.6,9.2,6.0,0.88,NaN,0.181,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-29,51,10.3,4.5,4.3,-4.7,2021-03-28T20:29,2021-03-29T09:05,45421.16,40759.22,4.70,5.65,0.10,0.00,0.00,0.10,1.0,NaN,57.7,73.4,259,12.36,1.84,6.0,0.0,0.8,10.0,0.0,99,100,77,0.9,4.5,-1.6,1.84,NaN,NaN,NaN,NaN,70,83,56,0.00,1023.7,1027.3,1016.0,947.1,950.6,941.1,NaN,24140.00,24140.00,24140.00,259,49.3,27.4,28.8,9.9,3.2,6.9,2.1,0.45,NaN,0.193,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-30,3,9.2,3.6,3.1,-0.9,2021-03-29T20:27,2021-03-30T09:06,45598.45,39663.70,4.45,5.70,0.00,0.00,0.00,0.00,0.0,NaN,36.8,48.6,266,13.69,2.70,6.3,0.6,0.0,0.0,0.0,92,100,26,-2.4,-0.4,-3.8,2.70,NaN,NaN,NaN,NaN,54,63,43,0.00,1028.9,1030.9,1026.3,952.0,953.7,950.3,NaN,24140.00,24140.00,24140.00,266,35.2,22.0,21.6,10.4,2.2,3.9,0.3,0.66,NaN,0.166,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-31,51,10.1,4.6,6.0,0.9,2021-03-30T20:25,2021-03-31T09:07,45776.20,40064.19,5.35,5.75,0.10,0.00,0.00,0.10,1.0,NaN,15.3,25.9,313,19.71,3.14,7.7,3.7,0.0,0.0,0.0,95,100,71,-4.4,-0.8,-8.2,3.14,NaN,NaN,NaN,NaN,44,68,27,0.00,1026.3,1029.8,1025.0,949.9,953.0,948.5,NaN,24140.00,24140.00,24140.00,313,14.0,10.3,5.8,4.8,2.5,3.1,1.8,0.90,NaN,0.177,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-01,3,10.1,1.4,5.4,-6.1,2021-03-31T20:24,2021-04-01T09:08,45954.31,40354.68,4.60,5.75,0.00,0.00,0.00,0.00,0.0,NaN,42.7,62.3,273,16.42,2.76,4.6,-1.9,0.4,10.0,0.0,95,100,8,-2.9,0.7,-5.1,2.76,NaN,NaN,NaN,NaN,60,83,38,0.00,1028.2,1033.7,1021.7,950.9,955.7,946.3,NaN,23193.33,1420.00,24140.00,273,38.8,27.2,5.8,8.0,1.1,4.4,-1.6,0.77,NaN,0.182,NaN,NaN,NaN,NaN,NaN,NaN,NaN
